name,hostelid,rate,city,url
HI NYC Hostel,1850,"
                8.7
            ",New York,https://www.hostelworld.com/hosteldetails.php/HI-NYC-Hostel/New-York/1850
The Local NYC,76281,"
                9.1
            ",New York,https://www.hostelworld.com/hosteldetails.php/The-Local-NYC/New-York/76281
Chelsea International Hostel,801,"
                8.0
            ",New York,https://www.hostelworld.com/hosteldetails.php/Chelsea-International-Hostel/New-York/801
NY Moore Hostel,57176,"
                8.9
            ",New York,https://www.hostelworld.com/hosteldetails.php/NY-Moore-Hostel/New-York/57176
Q4 Hotel,58186,"
                7.8
            ",New York,https://www.hostelworld.com/hosteldetails.php/Q4-Hotel/New-York/58186
International Students Residence,76911,"
                7.0
            ",New York,https://www.hostelworld.com/hosteldetails.php/International-Students-Residence/New-York/76911
International Student Center,4547,"
                8.4
            ",New York,https://www.hostelworld.com/hosteldetails.php/International-Student-Center/New-York/4547
Blue Moon Hotel NYC,95644,"
                8.1
            ",New York,https://www.hostelworld.com/hosteldetails.php/Blue-Moon-Hotel-NYC/New-York/95644
Jazz on Columbus Circle,99406,"
                8.0
            ",New York,https://www.hostelworld.com/hosteldetails.php/Jazz-on-Columbus-Circle/New-York/99406
Broadway Hotel n Hostel,16002,"
                7.9
            ",New York,https://www.hostelworld.com/hosteldetails.php/Broadway-Hotel-n-Hostel/New-York/16002
American Dream Hostel,809,"
                8.8
            ",New York,https://www.hostelworld.com/hosteldetails.php/American-Dream-Hostel/New-York/809
Giorgio Hotel,276964,"
                7.9
            ",New York,https://www.hostelworld.com/hosteldetails.php/Giorgio-Hotel/New-York/276964
La Sienna,33822,"
                9.0
            ",New York,https://www.hostelworld.com/hosteldetails.php/La-Sienna/New-York/33822
Canal Loft Hotel,284921,"
                7.8
            ",New York,https://www.hostelworld.com/hosteldetails.php/Canal-Loft-Hotel/New-York/284921
Jazz on the Park Youth Hotel,2294,"
                6.2
            ",New York,https://www.hostelworld.com/hosteldetails.php/Jazz-on-the-Park-Youth-Hotel/New-York/2294
The Brooklyn Riviera,275026,"
                8.5
            ",New York,https://www.hostelworld.com/hosteldetails.php/The-Brooklyn-Riviera/New-York/275026
West Side YMCA,831,"
                9.1
            ",New York,https://www.hostelworld.com/hosteldetails.php/West-Side-YMCA/New-York/831
Freehand New York,283114,"
                9.3
            ",New York,https://www.hostelworld.com/hosteldetails.php/Freehand-New-York/New-York/283114
Hotel & Hostel Vetiver,263751,"
                8.0
            ",New York,https://www.hostelworld.com/hosteldetails.php/Hotel-and-Hostel-Vetiver/New-York/263751
Interfaith Retreats,101378,"
                8.2
            ",New York,https://www.hostelworld.com/hosteldetails.php/Interfaith-Retreats/New-York/101378
Vanderbilt YMCA,815,"
                7.8
            ",New York,https://www.hostelworld.com/hosteldetails.php/Vanderbilt-YMCA/New-York/815
Central Park Studios at Lexington Ave. Co.,22107,"
                6.9
            ",New York,https://www.hostelworld.com/hosteldetails.php/Central-Park-Studios-at-Lexington-Ave-Co-/New-York/22107
Morningside Inn,286,"
                5.9
            ",New York,https://www.hostelworld.com/hosteldetails.php/Morningside-Inn/New-York/286
The Jane,33731,"
                8.6
            ",New York,https://www.hostelworld.com/hosteldetails.php/The-Jane/New-York/33731
Greenpoint YMCA,4561,"
                7.0
            ",New York,https://www.hostelworld.com/hosteldetails.php/Greenpoint-YMCA/New-York/4561
Victorian Inn,289240,"
                4.6
            ",New York,https://www.hostelworld.com/hosteldetails.php/Victorian-Inn/New-York/289240
Central Park West Hostel,47610,"
                6.5
            ",New York,https://www.hostelworld.com/hosteldetails.php/Central-Park-West-Hostel/New-York/47610
The Bowery House,58160,"
                7.0
            ",New York,https://www.hostelworld.com/hosteldetails.php/The-Bowery-House/New-York/58160
Harlem YMCA,4560,"
                8.8
            ",New York,https://www.hostelworld.com/hosteldetails.php/Harlem-YMCA/New-York/4560
Shepherd Guest House,296145,"
                0.0
            ",New York,https://www.hostelworld.com/hosteldetails.php/Shepherd-Guest-House/New-York/296145
Wolcott Hotel,848,"
                8.6
            ",New York,https://www.hostelworld.com/hosteldetails.php/Wolcott-Hotel/New-York/848
Hotel 31,8429,"
                9.3
            ",New York,https://www.hostelworld.com/hosteldetails.php/Hotel-31/New-York/8429
Union Hotel Brooklyn,285142,"
                8.4
            ",New York,https://www.hostelworld.com/hosteldetails.php/Union-Hotel-Brooklyn/New-York/285142
Neptune Hotel,88629,"
                2.3
            ",New York,https://www.hostelworld.com/hosteldetails.php/Neptune-Hotel/New-York/88629
Nesva Hotel,68167,"
                8.0
            ",New York,https://www.hostelworld.com/hosteldetails.php/Nesva-Hotel/New-York/68167
Broadway Lodge,101967,"
                0.0
            ",New York,https://www.hostelworld.com/hosteldetails.php/Broadway-Lodge/New-York/101967
Flushing YMCA,4559,"
                7.3
            ",New York,https://www.hostelworld.com/hosteldetails.php/Flushing-YMCA/New-York/4559
Serenity Guest House,34462,"
                8.9
            ",New York,https://www.hostelworld.com/hosteldetails.php/Serenity-Guest-House/New-York/34462
HI Boston,54929,"
                9.0
            ",Boston,https://www.hostelworld.com/hosteldetails.php/HI-Boston/Boston/54929
Backpackers Hostel & Pub,35211,"
                8.1
            ",Boston,https://www.hostelworld.com/hosteldetails.php/Backpackers-Hostel-and-Pub/Boston/35211
The Farrington Inn,1865,"
                7.6
            ",Boston,https://www.hostelworld.com/hosteldetails.php/The-Farrington-Inn/Boston/1865
"Found Boston Common, Boston, USA.",271439,"
                8.3
            ",Boston,https://www.hostelworld.com/hosteldetails.php/Found-Boston-Common-Boston-USA-/Boston/271439
Boston Homestel,295317,"
                8.5
            ",Boston,https://www.hostelworld.com/hosteldetails.php/Boston-Homestel/Boston/295317
Liberty Fleet of Tall Ships,44178,"
                7.2
            ",Boston,https://www.hostelworld.com/hosteldetails.php/Liberty-Fleet-of-Tall-Ships/Boston/44178
Phoenix Hostel,48221,"
                7.7
            ",London,https://www.hostelworld.com/hosteldetails.php/Phoenix-Hostel/London/48221
Hostel One Notting Hill,291433,"
                9.4
            ",London,https://www.hostelworld.com/hosteldetails.php/Hostel-One-Notting-Hill/London/291433
SoHostel,92473,"
                8.9
            ",London,https://www.hostelworld.com/hosteldetails.php/SoHostel/London/92473
Hostel One Camden,283734,"
                9.4
            ",London,https://www.hostelworld.com/hosteldetails.php/Hostel-One-Camden/London/283734
Queen Elizabeth Chelsea,50443,"
                7.3
            ",London,https://www.hostelworld.com/hosteldetails.php/Queen-Elizabeth-Chelsea/London/50443
Wombats City Hostel London,88047,"
                9.0
            ",London,https://www.hostelworld.com/hosteldetails.php/Wombats-City-Hostel-London/London/88047
Rest Up London,62036,"
                7.0
            ",London,https://www.hostelworld.com/hosteldetails.php/Rest-Up-London/London/62036
Keystone House Kings Cross,43465,"
                7.1
            ",London,https://www.hostelworld.com/hosteldetails.php/Keystone-House-Kings-Cross/London/43465
Safestay London Elephant & Castle,55551,"
                8.3
            ",London,https://www.hostelworld.com/hosteldetails.php/Safestay-London-Elephant-and-Castle/London/55551
Clink261,516,"
                8.0
            ",London,https://www.hostelworld.com/hosteldetails.php/Clink261/London/516
Safestay London Kensington Holland Park,93920,"
                8.4
            ",London,https://www.hostelworld.com/hosteldetails.php/Safestay-London-Kensington-Holland-Park/London/93920
Astor Museum Inn,520,"
                9.0
            ",London,https://www.hostelworld.com/hosteldetails.php/Astor-Museum-Inn/London/520
Astor Hyde Park,25678,"
                8.8
            ",London,https://www.hostelworld.com/hosteldetails.php/Astor-Hyde-Park/London/25678
St Christopher's Village,502,"
                8.5
            ",London,https://www.hostelworld.com/hosteldetails.php/St-Christopher-s-Village/London/502
Astor Victoria,524,"
                8.1
            ",London,https://www.hostelworld.com/hosteldetails.php/Astor-Victoria/London/524
Clink78,21954,"
                8.0
            ",London,https://www.hostelworld.com/hosteldetails.php/Clink78/London/21954
YHA London Oxford Street,6996,"
                9.1
            ",London,https://www.hostelworld.com/hosteldetails.php/YHA-London-Oxford-Street/London/6996
Generator London,510,"
                7.6
            ",London,https://www.hostelworld.com/hosteldetails.php/Generator-London/London/510
The Birds Hostel,283866,"
                7.8
            ",London,https://www.hostelworld.com/hosteldetails.php/The-Birds-Hostel/London/283866
Venture Hostel,14746,"
                7.3
            ",London,https://www.hostelworld.com/hosteldetails.php/Venture-Hostel/London/14746
