name,hostelid,rate,city,url
City Hostel Seattle,24089,"
                9.1
            ",Seattle,https://www.hostelworld.com/hosteldetails.php/City-Hostel-Seattle/Seattle/24089
HI Seattle at the American Hotel,36172,"
                8.7
            ",Seattle,https://www.hostelworld.com/hosteldetails.php/HI-Seattle-at-the-American-Hotel/Seattle/36172
HotelHotel Hostel,53155,"
                8.9
            ",Seattle,https://www.hostelworld.com/hosteldetails.php/HotelHotel-Hostel/Seattle/53155
Green Tortoise Seattle Hostel,17621,"
                8.6
            ",Seattle,https://www.hostelworld.com/hosteldetails.php/Green-Tortoise-Seattle-Hostel/Seattle/17621
The Baroness Hotel,71493,"
                9.2
            ",Seattle,https://www.hostelworld.com/hosteldetails.php/The-Baroness-Hotel/Seattle/71493
Freehand Chicago,91255,"
                9.3
            ",Chicago,https://www.hostelworld.com/hosteldetails.php/Freehand-Chicago/Chicago/91255
"HI Chicago, The J.Ira & Nicki Harris Family Hostel",1853,"
                9.1
            ",Chicago,https://www.hostelworld.com/hosteldetails.php/HI-Chicago-The-J-Ira-and-Nicki-Harris-Family-Hostel/Chicago/1853
Parthenon Hostel,47613,"
                8.8
            ",Chicago,https://www.hostelworld.com/hosteldetails.php/Parthenon-Hostel/Chicago/47613
Chicago Getaway Hostel,1804,"
                8.5
            ",Chicago,https://www.hostelworld.com/hosteldetails.php/Chicago-Getaway-Hostel/Chicago/1804
Wrigley Hostel,74641,"
                8.8
            ",Chicago,https://www.hostelworld.com/hosteldetails.php/Wrigley-Hostel/Chicago/74641
Found Chicago River North,282402,"
                9.4
            ",Chicago,https://www.hostelworld.com/hosteldetails.php/Found-Chicago-River-North/Chicago/282402
Holiday Jones,78734,"
                8.9
            ",Chicago,https://www.hostelworld.com/hosteldetails.php/Holiday-Jones/Chicago/78734
Apple Hostels of Philadelphia,25291,"
                9.3
            ",Philadelphia,https://www.hostelworld.com/hosteldetails.php/Apple-Hostels-of-Philadelphia/Philadelphia/25291
City House Hostel Philadelphia,92706,"
                8.4
            ",Philadelphia,https://www.hostelworld.com/hosteldetails.php/City-House-Hostel-Philadelphia/Philadelphia/92706
HI Chamounix Mansion,8855,"
                8.6
            ",Philadelphia,https://www.hostelworld.com/hosteldetails.php/HI-Chamounix-Mansion/Philadelphia/8855
HI Houston at the Morty Rich,52780,"
                9.1
            ",Houston,https://www.hostelworld.com/hosteldetails.php/HI-Houston-at-the-Morty-Rich/Houston/52780
Wanderstay Houston,292281,"
                9.2
            ",Houston,https://www.hostelworld.com/hosteldetails.php/Wanderstay-Houston/Houston/292281
USA Hostels Ocean Beach,2418,"
                9.7
            ",San Diego,https://www.hostelworld.com/hosteldetails.php/USA-Hostels-Ocean-Beach/San-Diego/2418
USA Hostels San Diego,823,"
                9.4
            ",San Diego,https://www.hostelworld.com/hosteldetails.php/USA-Hostels-San-Diego/San-Diego/823
HI San Diego - Downtown,1856,"
                9.2
            ",San Diego,https://www.hostelworld.com/hosteldetails.php/HI-San-Diego-Downtown/San-Diego/1856
HI San Diego - Point Loma,5257,"
                9.6
            ",San Diego,https://www.hostelworld.com/hosteldetails.php/HI-San-Diego-Point-Loma/San-Diego/5257
ITH Beach Bungalow Surf Hostel,277146,"
                8.6
            ",San Diego,https://www.hostelworld.com/hosteldetails.php/ITH-Beach-Bungalow-Surf-Hostel/San-Diego/277146
Hostel on 3rd,69711,"
                7.9
            ",San Diego,https://www.hostelworld.com/hosteldetails.php/Hostel-on-3rd/San-Diego/69711
ITH Adventure Hostel San Diego,66491,"
                9.1
            ",San Diego,https://www.hostelworld.com/hosteldetails.php/ITH-Adventure-Hostel-San-Diego/San-Diego/66491
Lucky D's,21720,"
                8.1
            ",San Diego,https://www.hostelworld.com/hosteldetails.php/Lucky-D-s/San-Diego/21720
